 Question,Long Answer,Short Answer,Source,Prompts,QnaId,ContextNeeded,InCourse
What is attachment theory?,Attachment theory is a psychological theory concerning relationships between humans. \n The most important tenet is that young children need to develop a relationship with one or more primary caregivers for healthy social and emotional development. \n The theory was formulated by psychoanalyst John Bowlby.,,https://en.wikipedia.org/wiki/Attachment_theory,"[{""DisplayOrder"":1,""QnaId"":303,""DisplayText"":""Role-play in SAT""}]",1,FALSE,TRUE
What is attachment?,"In attachment theory, ""attachment"" refers to the emotional bond between 2 individuals, typically a caregiver and a child. This can be a reciprocal bond between 2 adults. But between a child and caregiver, the bond centers around the child's need for safety, security, and protection. In child-to-adult relationships, the child's connection is referred to as ""attachment,"" and the reciprocal bond from the caregiver's side is known as the ""care-giving bond"".",,https://en.wikipedia.org/wiki/Attachment_theory,"[{""DisplayOrder"":1,""QnaId"":400,""DisplayText"":""Attachment Styles""},{""DisplayOrder"":2,""QnaId"":401,""DisplayText"":""Attachment Behaviour""}, {""DisplayOrder"":3,""QnaId"":7,""DisplayText"":""Biological Explanations of Attachment""}]",2,FALSE,FALSE
Does attachment behaviour indicate security?,"The strength of a child's attachment behaviour in a given circumstance does not indicate the 'strength' of the attachment bond. Insecure children may frequently exhibit strong attachment behaviours, while secure children may not require intense or frequent displays of attachment behaviour.",,https://en.wikipedia.org/wiki/Attachment_theory,"[{""DisplayOrder"":1,""QnaId"":4,""DisplayText"":""The change of attachment from childhood to adolescence""},{""DisplayOrder"":2,""QnaId"":14,""DisplayText"":""Attachment Behaviour in Infants""}]",3,FALSE,FALSE
How does attachment change from childhood to adolescence?,"As children grow, attachment behaviours evolve, with negotiation and bargaining becoming common during the preschool period. \n In middle childhood (ages 7 to 11), children form goal-corrected partnerships with parents, prioritize availability over proximity, and become more self-reliant. \n By adolescence, the attachment system acts as a safety regulator, responding to potential danger or stress. \n Their maturity influences the activation of the attachment system, although they still value their attachment figures, they can navigate certain situations without significant distress.",,https://en.wikipedia.org/wiki/Attachment_theory,"[{""DisplayOrder"":1,""QnaId"":180,""DisplayText"":""self-attachment""},{""DisplayOrder"":2,""QnaId"":401,""DisplayText"":""Attachment Behaviour""}]",4,FALSE,FALSE
What attachment styles are there in adults?,"Attachment theory was extended to adult romantic relationships in the late 1980s by Cindy Hazan and Phillip Shaver. \n Four styles of attachment have been identified in adults: secure, anxious-preoccupied, dismissive-avoidant and fearful-avoidant. \n These roughly correspond to infant classifications: secure, anxious or ambivalent, avoidant and disorganized attachment. ","Four styles of attachment have been identified in adults: secure, anxious-preoccupied, dismissive-avoidant and fearful-avoidant. ",https://en.wikipedia.org/wiki/Attachment_theory,"[{""DisplayOrder"":1,""QnaId"":24,""DisplayText"":""secure attachment in adults""},{""DisplayOrder"":2,""QnaId"":25,""DisplayText"":""anxious-preoccupied""}, {""DisplayOrder"":2,""QnaId"":26,""DisplayText"":""dismissive-avoidant""}, {""DisplayOrder"":2,""QnaId"":27,""DisplayText"":""fearful-avoidant""}]",5,FALSE,FALSE
What are the biological explanations of attachment?,"The quality of caregiving received during childhood have been found to directly affect an individual's stress regulation and immune system functioning. \n Research has found that negative experiences during early childhood produce  pro-inflammatory phenotype cells in the immune system, which is directly related to cardiovascular, autoimmune disease and certain types of cancer. \n Inherited genetic factors have also been found to play a role in shaping attachments, such as specific gene polymorphisms linked to anxious or avoidant attachment. In adulthood, attachment styles are related to immune biomarkers.\n  Avoidant attachment is associated with higher levels of interleukin-6 during stress, while anxious attachment is linked to elevated cortisol production and reduced T cell counts. ",,https://en.wikipedia.org/wiki/Attachment_theory,"[{""DisplayOrder"":1,""QnaId"":8,""DisplayText"":""attachment theory and crime""},{""DisplayOrder"":2,""QnaId"":23,""DisplayText"":""importance of attachment patterns""}]",7,FALSE,FALSE
How is attachment theory related to crime?,"Attachment theory is even considered a highly influential psychoanalytic theory in the field of crime! It has been found that early disturbances in child-caregiver relationships are actually linked to an increased risk of criminality. Attachment theory has been used for offender profiling, studying offense types, and developing prevention strategies.",,https://en.wikipedia.org/wiki/Attachment_theory,"[{""DisplayOrder"":1,""QnaId"":410,""DisplayText"":""Real example of self-attachment""},{""DisplayOrder"":1,""QnaId"":8,""DisplayText"":""attachment theory and crime""},{""DisplayOrder"":2,""QnaId"":23,""DisplayText"":""importance of attachment patterns""}]",8,FALSE,FALSE
What are the practical applications of attachment theory?,"As a theory of socioemotional development, attachment theory has implications and practical applications in social policy, decisions about the care and welfare of children and mental health.",,https://en.wikipedia.org/wiki/Attachment_theory,[],9,FALSE,FALSE
What are the attachment behaviours in infants?,"Pre-attachment behaviours occur in the first six months of life. \n In the first eight weeks of being born, infants use smiles, babbling, and crying to seek attention from anyone nearby. \n In the second phase (two to six months), they start to differentiate between familiar and unfamiliar adults, showing more responsiveness towards the caregiver. They also exhibit behaviours like following and clinging. \n By the end of the first year, infants display attachment behaviors to maintain proximity, such as protesting separation, greeting the caregiver's return, clinging when scared, and following when possible. As infants develop mobility, they use the caregiver as a ""safe base"" for exploration. When the caregiver is present, exploration increases, but if the caregiver is inaccessible or unresponsive, attachment behaviors intensify. \n After the second year, children form a more complex partnership with the caregiver, recognizing others' feelings and adjusting their actions accordingly.",,https://en.wikipedia.org/wiki/Attachment_theory,[],14,FALSE,FALSE
What are the principles of attachment theory?,Modern attachment theory is based on three principles:\n\n 1.  Bonding is an intrinsic human need.\n 2.  Regulation of emotion and fear to enhance vitality.\n 3.  Promoting adaptiveness and growth.,,https://en.wikipedia.org/wiki/Attachment_theory,[],15,FALSE,FALSE
